n,p_or_ramp,density,reciprocity,seeds,rounds_per_seed,q,ewma_lookback,coverage_rate,p99_debit,p99_tail_coverage,cap_binding_fraction
15,1,0.5,0.8,200,64,1,8,0.3041,7492974,0.0000,0.2201
15,1,0.5,0.8,200,64,1,16,0.3054,7477298,0.0000,0.1333
15,1,0.5,0.8,200,64,1,32,0.2961,7476375,0.0000,0.0463
15,1,0.5,0.8,200,64,1.25,8,0.3701,7492974,0.0000,0.2201
15,1,0.5,0.8,200,64,1.25,16,0.3738,7477298,0.0000,0.1333
15,1,0.5,0.8,200,64,1.25,32,0.3641,7476375,0.0000,0.0463
15,1,0.5,0.8,200,64,1.5,8,0.4312,7492974,0.0000,0.2201
15,1,0.5,0.8,200,64,1.5,16,0.4385,7477298,0.0000,0.1333
15,1,0.5,0.8,200,64,1.5,32,0.4286,7476375,0.0000,0.0463
15,1,0.5,0.8,200,64,2,8,0.5380,7492974,0.0000,0.2201
15,1,0.5,0.8,200,64,2,16,0.5519,7477298,0.0000,0.1333
15,1,0.5,0.8,200,64,2,32,0.5421,7476375,0.0000,0.0463
15,0.95,0.5,0.8,200,64,1,8,0.3004,9362870,0.0000,0.2183
15,0.95,0.5,0.8,200,64,1,16,0.3001,9333537,0.0000,0.1384
15,0.95,0.5,0.8,200,64,1,32,0.2879,9330141,0.0000,0.0560
15,0.95,0.5,0.8,200,64,1.25,8,0.3649,9362870,0.0000,0.2183
15,0.95,0.5,0.8,200,64,1.25,16,0.3660,9333537,0.0000,0.1384
15,0.95,0.5,0.8,200,64,1.25,32,0.3514,9330141,0.0000,0.0560
15,0.95,0.5,0.8,200,64,1.5,8,0.4247,9362870,0.0000,0.2183
15,0.95,0.5,0.8,200,64,1.5,16,0.4277,9333537,0.0000,0.1384
15,0.95,0.5,0.8,200,64,1.5,32,0.4118,9330141,0.0000,0.0560
15,0.95,0.5,0.8,200,64,2,8,0.5267,9362870,0.0000,0.2183
15,0.95,0.5,0.8,200,64,2,16,0.5375,9333537,0.0000,0.1384
15,0.95,0.5,0.8,200,64,2,32,0.5251,9330141,0.0000,0.0560
15,0.9,0.5,0.8,200,64,1,8,0.2944,13854283,0.0000,0.2215
15,0.9,0.5,0.8,200,64,1,16,0.2889,14068161,0.0000,0.1550
15,0.9,0.5,0.8,200,64,1,32,0.2353,15266066,0.0000,0.0939
15,0.9,0.5,0.8,200,64,1.25,8,0.3561,13854283,0.0000,0.2215
15,0.9,0.5,0.8,200,64,1.25,16,0.3503,14068161,0.0000,0.1550
15,0.9,0.5,0.8,200,64,1.25,32,0.3007,15266066,0.0000,0.0939
15,0.9,0.5,0.8,200,64,1.5,8,0.4115,13854283,0.0000,0.2215
15,0.9,0.5,0.8,200,64,1.5,16,0.4076,14068161,0.0000,0.1550
15,0.9,0.5,0.8,200,64,1.5,32,0.3529,15266066,0.0000,0.0939
15,0.9,0.5,0.8,200,64,2,8,0.5077,13854283,0.0000,0.2215
15,0.9,0.5,0.8,200,64,2,16,0.5051,14068161,0.0000,0.1550
15,0.9,0.5,0.8,200,64,2,32,0.4771,15266066,0.0000,0.0939
30,1,0.5,0.8,200,64,1,8,0.3014,10621960,0.0000,0.2223
30,1,0.5,0.8,200,64,1,16,0.3012,10613905,0.0000,0.1342
30,1,0.5,0.8,200,64,1,32,0.2928,10592857,0.0000,0.0451
30,1,0.5,0.8,200,64,1.25,8,0.3674,10621960,0.0000,0.2223
30,1,0.5,0.8,200,64,1.25,16,0.3696,10613905,0.0000,0.1342
30,1,0.5,0.8,200,64,1.25,32,0.3606,10592857,0.0000,0.0451
30,1,0.5,0.8,200,64,1.5,8,0.4275,10621960,0.0000,0.2223
30,1,0.5,0.8,200,64,1.5,16,0.4332,10613905,0.0000,0.1342
30,1,0.5,0.8,200,64,1.5,32,0.4247,10592857,0.0000,0.0451
30,1,0.5,0.8,200,64,2,8,0.5328,10621960,0.0000,0.2223
30,1,0.5,0.8,200,64,2,16,0.5469,10613905,0.0000,0.1342
30,1,0.5,0.8,200,64,2,32,0.5399,10592857,0.0000,0.0451
30,0.95,0.5,0.8,200,64,1,8,0.3089,18888673,0.0000,0.2203
30,0.95,0.5,0.8,200,64,1,16,0.3007,18488244,0.0000,0.1456
30,0.95,0.5,0.8,200,64,1,32,0.2769,15538573,0.0000,0.0683
30,0.95,0.5,0.8,200,64,1.25,8,0.3729,18888673,0.0000,0.2203
30,0.95,0.5,0.8,200,64,1.25,16,0.3672,18488244,0.0000,0.1456
30,0.95,0.5,0.8,200,64,1.25,32,0.3453,15538573,0.0000,0.0683
30,0.95,0.5,0.8,200,64,1.5,8,0.4306,18888673,0.0000,0.2203
30,0.95,0.5,0.8,200,64,1.5,16,0.4270,18488244,0.0000,0.1456
30,0.95,0.5,0.8,200,64,1.5,32,0.4072,15538573,0.0000,0.0683
30,0.95,0.5,0.8,200,64,2,8,0.5294,18888673,0.0000,0.2203
30,0.95,0.5,0.8,200,64,2,16,0.5321,18488244,0.0000,0.1456
30,0.95,0.5,0.8,200,64,2,32,0.5049,15538573,0.0000,0.0683
30,0.9,0.5,0.8,200,64,1,8,0.2878,27844819,0.0000,0.2492
30,0.9,0.5,0.8,200,64,1,16,0.0000,0,0.0000,0.0000
30,0.9,0.5,0.8,200,64,1,32,0.0000,0,0.0000,0.0000
30,0.9,0.5,0.8,200,64,1.25,8,0.3523,27844819,0.0000,0.2492
30,0.9,0.5,0.8,200,64,1.25,16,0.0000,0,0.0000,0.0000
30,0.9,0.5,0.8,200,64,1.25,32,0.0000,0,0.0000,0.0000
30,0.9,0.5,0.8,200,64,1.5,8,0.4066,27844819,0.0000,0.2492
30,0.9,0.5,0.8,200,64,1.5,16,0.0000,0,0.0000,0.0000
30,0.9,0.5,0.8,200,64,1.5,32,0.0000,0,0.0000,0.0000
30,0.9,0.5,0.8,200,64,2,8,0.4847,27844819,0.0000,0.2492
30,0.9,0.5,0.8,200,64,2,16,0.0000,0,0.0000,0.0000
30,0.9,0.5,0.8,200,64,2,32,0.0000,0,0.0000,0.0000
50,1,0.5,0.8,200,64,1,8,0.3009,13697748,0.0000,0.2224
50,1,0.5,0.8,200,64,1,16,0.3004,13708506,0.0000,0.1348
50,1,0.5,0.8,200,64,1,32,0.2905,13712427,0.0000,0.0449
50,1,0.5,0.8,200,64,1.25,8,0.3671,13697748,0.0000,0.2224
