n,p,density,reciprocity,seeds,rounds_per_seed,median_realized_compression,p10_realized_compression,median_worst_saving,p10_worst_saving,mean_excluded_latency_rounds,p95_excluded_latency_rounds,abort_rate,exclusion_round_fraction,unsettled_fraction
5,1,0.5,0,200,10,0.3563,0.2823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,0.5,0.1,200,10,0.4321,0.3507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,0.5,0.2,200,10,0.4948,0.4084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,0.5,0.3,200,10,0.5504,0.4781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,0.5,0.4,200,10,0.5963,0.5211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,0.5,0.5,200,10,0.6393,0.5617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,0.5,0.6,200,10,0.6706,0.6049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,0.5,0.7,200,10,0.7020,0.6468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,0.5,0.8,200,10,0.7349,0.6836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,0.5,0.9,200,10,0.7564,0.7165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,0.5,1,200,10,0.7822,0.7467,0.1404,0.0286,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,0.1,0.8,200,10,0.6277,0.4768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,0.2,0.8,200,10,0.6542,0.5743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,0.3,0.8,200,10,0.6838,0.6260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
